,Region,Variable,MinVals,MaxVals,MeanVals,SdtError
1,Europe,Sync,0.07,0.99,0.62,0.00
2,Europe,annual_avgC,0.86,1.00,1.00,0.00
3,Europe,distance,0.00,0.16,0.03,0.00
4,Europe,overlap,0.00,0.97,0.41,0.00
5,Oceania,Sync,0.09,0.97,0.58,0.00
6,Oceania,annual_avgC,0.97,1.00,0.99,0.00
7,Oceania,distance,0.00,0.07,0.02,0.00
8,Oceania,overlap,0.00,0.96,0.50,0.01
9,USA,Sync,0.09,0.96,0.55,0.00
10,USA,annual_avgC,0.82,1.00,0.95,0.00
11,USA,distance,0.00,0.12,0.03,0.00
12,USA,overlap,0.00,0.97,0.47,0.01
