,distance,overlap,annual_avg,DistKM,WCDistkm
distance,1.00,-0.75,-0.12,0.167997796,0.112053259
overlap,-0.75,1.00,0.04,-0.096582266,-0.025035942
annual_avg,-0.12,0.04,1.00,-0.905385562,-0.900446432
DistKM,0.17,-0.10,-0.91,1,0.931881652
WCDistkm,0.112053259,-0.025035942,-0.900446432,0.931881652,1
