"","Index","FlowMetric","ModifiedClass","Quantile","NumberSitesPerClass"
"51","asci","Dry-season median baseflow","Overall 30th",0.5,198
"52","asci","Dry-season median baseflow","Overall 30th",0.9,198
"53","asci","Dry-season median baseflow","Soft Bottom (no hard sides)",0.5,4
"54","asci","Dry-season median baseflow","Soft Bottom (no hard sides)",0.9,4
"55","asci","Dry-season median baseflow","Soft Bottom (two hard sides)",0.5,13
"56","asci","Dry-season median baseflow","Soft Bottom (two hard sides)",0.9,13
"57","asci","Fall pulse magnitude","Hard Bottom",0.5,29
"58","asci","Fall pulse magnitude","Hard Bottom",0.9,29
"59","asci","Fall pulse magnitude","Natural",0.5,97
"60","asci","Fall pulse magnitude","Natural",0.9,97
"61","asci","Fall pulse magnitude","Overall 10th",0.5,198
"62","asci","Fall pulse magnitude","Overall 10th",0.9,198
"63","asci","Fall pulse magnitude","Overall 1st",0.5,198
"64","asci","Fall pulse magnitude","Overall 1st",0.9,198
"65","asci","Fall pulse magnitude","Overall 30th",0.5,198
"66","asci","Fall pulse magnitude","Overall 30th",0.9,198
"67","asci","Fall pulse magnitude","Soft Bottom (no hard sides)",0.5,4
"68","asci","Fall pulse magnitude","Soft Bottom (no hard sides)",0.9,4
"69","asci","Fall pulse magnitude","Soft Bottom (two hard sides)",0.5,13
"70","asci","Fall pulse magnitude","Soft Bottom (two hard sides)",0.9,13
"71","asci","Magnitude of largest annual storm","Hard Bottom",0.5,29
"72","asci","Magnitude of largest annual storm","Hard Bottom",0.9,29
"73","asci","Magnitude of largest annual storm","Natural",0.5,97
"74","asci","Magnitude of largest annual storm","Natural",0.9,97
"75","asci","Magnitude of largest annual storm","Overall 10th",0.5,198
"76","asci","Magnitude of largest annual storm","Overall 10th",0.9,198
"77","asci","Magnitude of largest annual storm","Overall 1st",0.5,198
"78","asci","Magnitude of largest annual storm","Overall 1st",0.9,198
"79","asci","Magnitude of largest annual storm","Overall 30th",0.5,198
"80","asci","Magnitude of largest annual storm","Overall 30th",0.9,198
"81","asci","Magnitude of largest annual storm","Soft Bottom (no hard sides)",0.5,4
"82","asci","Magnitude of largest annual storm","Soft Bottom (no hard sides)",0.9,4
"83","asci","Magnitude of largest annual storm","Soft Bottom (two hard sides)",0.5,13
"84","asci","Magnitude of largest annual storm","Soft Bottom (two hard sides)",0.9,13
"85","asci","Spring recession magnitude","Hard Bottom",0.5,29
"86","asci","Spring recession magnitude","Hard Bottom",0.9,29
"87","asci","Spring recession magnitude","Natural",0.5,97
"88","asci","Spring recession magnitude","Natural",0.9,97
"89","asci","Spring recession magnitude","Overall 10th",0.5,198
"90","asci","Spring recession magnitude","Overall 10th",0.9,198
"91","asci","Spring recession magnitude","Overall 1st",0.5,198
"92","asci","Spring recession magnitude","Overall 1st",0.9,198
"93","asci","Spring recession magnitude","Overall 30th",0.5,198
