"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","ModelstoUse","Threshold","BioThresh","Lower","Upper","MetricCurve","CurveStatus","Lower2","Upper2","MetricCurve2"
"1","csci_Peak_10","csci","Peak_10",3,0.9,3,"Yes","NATLow",0.63,NA,NA,"csci_Peak_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_10_3_0.9_NATLow"
"2","csci_Peak_10","csci","Peak_10",3,0.9,3,"Yes","HB",0.67,NA,NA,"csci_Peak_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_10_3_0.9_HB"
"3","csci_Peak_2","csci","Peak_2",3,0.9,3,"Yes","NATLow",0.63,NA,NA,"csci_Peak_2_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_2_3_0.9_NATLow"
"4","csci_Peak_2","csci","Peak_2",3,0.9,3,"Yes","HB",0.67,NA,NA,"csci_Peak_2_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_2_3_0.9_HB"
"5","csci_Peak_5","csci","Peak_5",3,0.9,3,"Yes","NATLow",0.63,NA,NA,"csci_Peak_5_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_5_3_0.9_NATLow"
"6","csci_Peak_5","csci","Peak_5",3,0.9,3,"Yes","HB",0.67,NA,NA,"csci_Peak_5_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Peak_5_3_0.9_HB"
"7","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.9,3,"Yes","NATLow",0.63,NA,NA,"csci_Wet_BFL_Mag_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Wet_BFL_Mag_10_3_0.9_NATLow"
"8","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.9,3,"Yes","HB",0.67,NA,NA,"csci_Wet_BFL_Mag_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Wet_BFL_Mag_10_3_0.9_HB"
"9","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.9,3,"Yes","SB0",0.78,NA,NA,"csci_Wet_BFL_Mag_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Wet_BFL_Mag_10_3_0.9_SB0"
"10","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.9,3,"Yes","SB2",0.75,NA,NA,"csci_Wet_BFL_Mag_10_3_0.9","Above",-44933.6480255651,7536.16597302694,"csci_Wet_BFL_Mag_10_3_0.9_SB2"
"11","csci_Peak_10","csci","Peak_10",3,0.5,3,"Yes","NATHigh",0.92,NA,NA,"csci_Peak_10_3_0.5","Below",0,0,"csci_Peak_10_3_0.5_NATHigh"
"12","csci_Peak_2","csci","Peak_2",3,0.5,3,"Yes","NATHigh",0.92,NA,NA,"csci_Peak_2_3_0.5","Below",0,0,"csci_Peak_2_3_0.5_NATHigh"
"13","csci_Peak_5","csci","Peak_5",3,0.5,3,"Yes","NATHigh",0.92,NA,NA,"csci_Peak_5_3_0.5","Below",0,0,"csci_Peak_5_3_0.5_NATHigh"
