"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","CorObs_Pred"
"1","asci_DS_Mag_50",NA,NA,NA,NA,NA,NA,-17.7010763802813,0.381318967545943,171,"asci","DS_Mag_50",0.235730252307389
"2","csci_DS_Mag_50",-8.80983782562329,4.28213196264109,-15.8992512172592,10.6709798489677,-9.55604457908145,4.88689691345718,-11.4342324406556,6.55672204747373,305,"csci","DS_Mag_50",0.582007149345452
"3","asci_FA_Mag",NA,NA,NA,NA,NA,NA,NA,NA,171,"asci","FA_Mag",0.285933677251301
"4","csci_FA_Mag",-53.4281371521465,43.9106257131524,-189.654063516323,135.926416351476,-64.7802976824946,51.5809781394098,-98.8367792735386,73.9765647775793,305,"csci","FA_Mag",0.524326900405873
"5","asci_Peak_10",1836.60504970579,NA,2033.01385838499,NA,486.761894961406,NA,-45.2466302192365,NA,171,"asci","Peak_10",0.398672984687105
"6","csci_Peak_10",-300.48809662704,NA,-1282.98775012152,NA,-383.116302665537,NA,-625.629513068201,NA,305,"csci","Peak_10",0.55774628547599
"7","asci_Peak_2",830.627158072233,NA,875.047659866356,NA,503.052716381468,NA,207.823480925101,NA,171,"asci","Peak_2",0.320873459999858
"8","csci_Peak_2",-131.308783652338,328.510914670547,-624.202805016866,NA,-178.556990943725,NA,-291.327728599402,NA,305,"csci","Peak_2",0.335855194294671
"9","asci_Peak_5",1225.85028903048,NA,1347.56570669916,NA,356.206797781613,NA,-38.7269910810745,NA,171,"asci","Peak_5",0.383791817308736
"10","csci_Peak_5",-255.594822908958,NA,-1236.8601973501,NA,-341.263231985495,NA,-587.762592879943,NA,305,"csci","Peak_5",0.464419652068888
"11","asci_SP_Mag",1432.16482798065,NA,1448.81374779063,NA,1315.62238931073,NA,-42.6559952413479,41.839498882242,171,"asci","SP_Mag",0.351340125705043
"12","csci_SP_Mag",44.7219565709109,144.451353888448,-157.436675333383,453.750960943878,19.8984923928751,172.150090118457,-32.912643360886,233.72740374188,305,"csci","SP_Mag",0.40123497131004
"13","asci_Wet_BFL_Mag_10",NA,NA,NA,NA,NA,NA,NA,NA,171,"asci","Wet_BFL_Mag_10",0.262252357839191
"14","csci_Wet_BFL_Mag_10",-1.89811180086246,8.13686047506398,-9.93180591510347,20.8279053516894,-2.91690832011098,9.28992799828673,-5.22789057348875,12.3132779483457,305,"csci","Wet_BFL_Mag_10",0.491506168630393
"15","asci_Wet_BFL_Mag_50",NA,NA,NA,NA,90.9090467726959,158.04753707983,-55.6204956686079,-43.8040969079287,171,"asci","Wet_BFL_Mag_50",0.276783173730036
"16","csci_Wet_BFL_Mag_50",-3.28715139485376,12.9412239640893,-75.4011834400615,126.054619147305,-11.0158580594949,20.6303310222347,-24.2260625268751,37.2342708104959,305,"csci","Wet_BFL_Mag_50",0.276840661851873
"17","asci_Q99",358.844690231013,NA,401.95245979914,NA,39.8065560966185,NA,-116.048956341432,NA,171,"asci","Q99",0.425315163038457
"18","csci_Q99",-141.020929015606,NA,-22832.2472779447,-8954.93180899116,-172.746832826688,NA,-15115.264157807,-13248.5608041394,305,"csci","Q99",0.509504515598406
