"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","SmoothingFunc","n","PercChans"
"1","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",3,19,8.75576036866359
"2","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",6,65,29.9539170506912
"3","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",9,64,29.4930875576037
"4","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",12,66,30.4147465437788
"5","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",15,1,0.460829493087558
"6","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",18,1,0.460829493087558
"7","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",20,1,0.460829493087558
"8","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",3,16,10.8108108108108
"9","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",6,42,28.3783783783784
"10","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",9,41,27.7027027027027
"11","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",12,46,31.0810810810811
"12","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",15,1,0.675675675675676
"13","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",18,1,0.675675675675676
"14","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",20,1,0.675675675675676
"15","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",3,86,16.6023166023166
"16","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",6,40,7.72200772200772
"17","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",9,41,7.91505791505791
"18","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",12,39,7.52895752895753
"19","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",15,104,20.0772200772201
"20","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",18,104,20.0772200772201
"21","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",20,104,20.0772200772201
"22","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BothImpact",3,102,15.0442477876106
