"","Index","FlowMetric","SmoothingFunc","ModifiedClass","NoImpact","BioImpact","HydroImpact","BothImpact","NumberSitesPerClass"
"1","asci","Dry-season median baseflow",6,"Hard Bottom",0,14.2857142857143,0,0,26
"2","asci","Dry-season median baseflow",6,"Natural",0,14.2857142857143,0,0,63
"3","asci","Dry-season median baseflow",6,"Overall 1st",0,14.2857142857143,0,0,182
"4","asci","Dry-season median baseflow",6,"Overall 30th",29.9539170506912,28.3783783783784,7.72200772200772,11.2094395280236,223
"5","asci","Dry-season median baseflow",6,"Overall 10th",0,14.2857142857143,0,0,157
"6","asci","Dry-season median baseflow",6,"Soft Bottom (no hard sides)",0,0,16.6666666666667,16.6666666666667,4
"7","asci","Dry-season median baseflow",6,"Soft Bottom (two hard sides)",0,17.2413793103448,14.2857142857143,13.6,23
"8","asci","Fall pulse magnitude",6,"Hard Bottom",0,20,0,0,26
"9","asci","Fall pulse magnitude",6,"Natural",0,20,0,0,63
"10","asci","Fall pulse magnitude",6,"Overall 1st",0,16.6666666666667,0,0,182
"11","asci","Fall pulse magnitude",6,"Overall 30th",0,30.0254452926209,0,0,118
"12","asci","Fall pulse magnitude",6,"Overall 10th",0,20,0,0,157
"13","asci","Fall pulse magnitude",6,"Soft Bottom (no hard sides)",0,25,0,0,3
"14","asci","Fall pulse magnitude",6,"Soft Bottom (two hard sides)",0,29.7297297297297,0,0,22
"15","asci","10-year flood magnitude",6,"Hard Bottom",0,0,14.2857142857143,14.2857142857143,29
"16","asci","10-year flood magnitude",6,"Natural",0,0,14.1868512110727,14.5496535796767,104
"17","asci","10-year flood magnitude",6,"Overall 1st",0,50,14.2857142857143,14.2295597484277,222
"18","asci","10-year flood magnitude",6,"Overall 30th",0,18.5667752442997,12.9834254143646,11.7533718689788,165
"19","asci","10-year flood magnitude",6,"Overall 10th",0,0,14.2857142857143,14.3904674610449,221
"20","asci","10-year flood magnitude",6,"Soft Bottom (no hard sides)",0,0,14.2857142857143,14.2857142857143,4
"21","asci","10-year flood magnitude",6,"Soft Bottom (two hard sides)",0,31.25,14.2857142857143,12.3188405797101,23
"22","asci","2-year flood magnitude",6,"Hard Bottom",0,50,0,0,26
"23","asci","2-year flood magnitude",6,"Natural",0,75.9036144578313,0,0,63
"24","asci","2-year flood magnitude",6,"Overall 1st",0,33.0909090909091,0,0,182
"25","asci","2-year flood magnitude",6,"Overall 30th",0,36,6.5439672801636,9.46745562130178,150
"26","asci","2-year flood magnitude",6,"Overall 10th",0,75.4807692307692,0,0,157
"27","asci","2-year flood magnitude",6,"Soft Bottom (no hard sides)",0,0,16.6666666666667,15,4
"28","asci","2-year flood magnitude",6,"Soft Bottom (two hard sides)",0,54.5454545454545,0,7.57575757575758,22
"29","asci","5-year flood magnitude",6,"Hard Bottom",0,0,14.2857142857143,14.2857142857143,29
"30","asci","5-year flood magnitude",6,"Natural",0,0,14.1891891891892,14.2857142857143,105
"31","asci","5-year flood magnitude",6,"Overall 1st",0,0,14.2857142857143,14.2857142857143,222
"32","asci","5-year flood magnitude",6,"Overall 30th",0,18.7074829931973,13.5770234986945,11.8421052631579,170
"33","asci","5-year flood magnitude",6,"Overall 10th",0,0,14.3805309734513,14.4301470588235,222
"34","asci","5-year flood magnitude",6,"Soft Bottom (no hard sides)",0,33.3333333333333,0,11.1111111111111,3
"35","asci","5-year flood magnitude",6,"Soft Bottom (two hard sides)",0,20,25,13.1782945736434,23
"36","asci","Magnitude of largest annual storm",6,"Hard Bottom",0,0,14.2857142857143,14.2857142857143,29
"37","asci","Magnitude of largest annual storm",6,"Natural",0,0,14.3859649122807,14.3507972665148,104
"38","asci","Magnitude of largest annual storm",6,"Overall 1st",0,0,16.6666666666667,16.6666666666667,222
"39","asci","Magnitude of largest annual storm",6,"Overall 30th",0,17.6811594202899,11.0320284697509,11.8503118503119,149
"40","asci","Magnitude of largest annual storm",6,"Overall 10th",0,0,14.3497757847534,14.3117593436645,221
"41","asci","Magnitude of largest annual storm",6,"Soft Bottom (no hard sides)",0,0,14.2857142857143,17.6470588235294,4
"42","asci","Magnitude of largest annual storm",6,"Soft Bottom (two hard sides)",0,40,14.2857142857143,10.4477611940298,23
"43","asci","Spring recession magnitude",6,"Hard Bottom",0,0,14.2857142857143,14.2857142857143,29
"44","asci","Spring recession magnitude",6,"Natural",0,0,14.3859649122807,14.3507972665148,104
"45","asci","Spring recession magnitude",6,"Overall 1st",0,0.531914893617021,16.6666666666667,16.6666666666667,222
"46","asci","Spring recession magnitude",6,"Overall 30th",33.8461538461538,36.6666666666667,7.22222222222222,10.4815864022663,223
"47","asci","Spring recession magnitude",6,"Overall 10th",0,0,14.3820224719101,14.337899543379,221
"48","asci","Spring recession magnitude",6,"Soft Bottom (no hard sides)",0,0,14.2857142857143,14.2857142857143,4
"49","asci","Spring recession magnitude",6,"Soft Bottom (two hard sides)",0,0,14.2857142857143,14.7651006711409,23
"50","asci","Wet-season low baseflow",6,"Hard Bottom",0,20,0,0,26
"51","asci","Wet-season low baseflow",6,"Natural",0,19.9367088607595,0,0,63
"52","asci","Wet-season low baseflow",6,"Overall 1st",0,14.2857142857143,0,0,182
"53","asci","Wet-season low baseflow",6,"Overall 30th",20.5673758865248,9.31372549019608,15.5419222903885,15.9163987138264,223
"54","asci","Wet-season low baseflow",6,"Overall 10th",0,19.8986058301648,0,0,157
"55","asci","Wet-season low baseflow",6,"Soft Bottom (no hard sides)",0,0,16.6666666666667,16.6666666666667,4
"56","asci","Wet-season low baseflow",6,"Soft Bottom (two hard sides)",0,0,16.6666666666667,16.6666666666667,23
"57","asci","Wet-season median baseflow",6,"Hard Bottom",0,0,16.6666666666667,16.6666666666667,29
"58","asci","Wet-season median baseflow",6,"Natural",10,0,17.2268907563025,16.8449197860963,106
"59","asci","Wet-season median baseflow",6,"Overall 1st",0,49.3224932249323,0,0,182
"60","asci","Wet-season median baseflow",6,"Overall 30th",19.2982456140351,25.8064516129032,13.8643067846608,13.8364779874214,223
"61","asci","Wet-season median baseflow",6,"Overall 10th",10,0,17.0212765957447,16.7377398720682,223
"62","asci","Wet-season median baseflow",6,"Soft Bottom (no hard sides)",0,0,16.6666666666667,16.6666666666667,4
"63","asci","Wet-season median baseflow",6,"Soft Bottom (two hard sides)",0,0,14.2857142857143,14.2857142857143,23
"64","csci","Dry-season median baseflow",6,"Hard Bottom",0,21.2765957446809,16.6666666666667,12.8318584070796,40
"65","csci","Dry-season median baseflow",6,"Natural",25.0493096646943,24.7706422018349,2.91666666666667,7.00636942675159,217
"66","csci","Dry-season median baseflow",6,"Overall 1st",0,29.438202247191,0,0,262
"67","csci","Dry-season median baseflow",6,"Overall 30th",32.5059101654846,28.968253968254,1.1986301369863,7.42115027829314,402
"68","csci","Dry-season median baseflow",6,"Overall 10th",25.1673360107095,26.3852242744063,2.82087447108604,9.60163432073544,402
