"","Index","FlowMetric","SmoothingFunc","ModifiedClass","NoImpact","BioImpact","HydroImpact","BothImpact","NumberSitesPerClass"
"69","csci","Dry-season median baseflow",6,"Soft Bottom (no hard sides)",0,25,0,10,8
"70","csci","Dry-season median baseflow",6,"Soft Bottom (two hard sides)",0,25,0,9.58904109589041,30
"71","csci","Fall pulse magnitude",6,"Hard Bottom",50,25.7142857142857,0,10.3448275862069,40
"72","csci","Fall pulse magnitude",6,"Natural",20.8909370199693,20.9459459459459,1.48809523809524,5.93220338983051,217
"73","csci","Fall pulse magnitude",6,"Overall 1st",0,16.6666666666667,0,0,262
"74","csci","Fall pulse magnitude",6,"Overall 30th",49.8245614035088,39.6039603960396,0.344827586206897,5.60271646859083,402
"75","csci","Fall pulse magnitude",6,"Overall 10th",20.820189274448,21.1878009630819,1.98019801980198,8.43537414965986,402
"76","csci","Fall pulse magnitude",6,"Soft Bottom (no hard sides)",0,25,0,6.25,8
"77","csci","Fall pulse magnitude",6,"Soft Bottom (two hard sides)",0,30.4878048780488,0,3.90625,30
"78","csci","10-year flood magnitude",6,"Hard Bottom",0,34.0425531914894,50,10.1769911504425,40
"79","csci","10-year flood magnitude",6,"Natural",0,19.7916666666667,4.57142857142857,7.78688524590164,92
"80","csci","10-year flood magnitude",6,"Overall 1st",0,21.0526315789474,14.2372881355932,14.2148760330579,388
"81","csci","10-year flood magnitude",6,"Overall 30th",11.7647058823529,1.03092783505155,16.6277712952159,16.1383285302594,402
"82","csci","10-year flood magnitude",6,"Overall 10th",0,19.8915009041591,4.63320463320463,10.4347826086957,218
"83","csci","10-year flood magnitude",6,"Soft Bottom (no hard sides)",0,20,0,11.1111111111111,8
"84","csci","10-year flood magnitude",6,"Soft Bottom (two hard sides)",0,25,0,12.3595505617978,30
"85","csci","2-year flood magnitude",6,"Hard Bottom",0,0,16.6666666666667,16.3865546218487,40
"86","csci","2-year flood magnitude",6,"Natural",0,17.6056338028169,10.6382978723404,10.4838709677419,101
"87","csci","2-year flood magnitude",6,"Overall 1st",0,0.757575757575758,17.9790026246719,15.3349001175088,399
"88","csci","2-year flood magnitude",6,"Overall 30th",12.5,14.2857142857143,14.3144148669011,14.2857142857143,402
"89","csci","2-year flood magnitude",6,"Overall 10th",0,21.5962441314554,8.99470899470899,10.9442060085837,228
"90","csci","2-year flood magnitude",6,"Soft Bottom (no hard sides)",0,33.3333333333333,0,12,8
"91","csci","2-year flood magnitude",6,"Soft Bottom (two hard sides)",0,35.1351351351351,0,2.94117647058824,30
"92","csci","5-year flood magnitude",6,"Hard Bottom",0,50,14.2857142857143,8.86075949367089,40
"93","csci","5-year flood magnitude",6,"Natural",0,33.3333333333333,2.29885057471264,5.26315789473684,90
"94","csci","5-year flood magnitude",6,"Overall 1st",0,14.2857142857143,14.1583054626533,14.2857142857143,389
"95","csci","5-year flood magnitude",6,"Overall 30th",11.7647058823529,0.961538461538462,16.6180758017493,16.3027656477438,402
"96","csci","5-year flood magnitude",6,"Overall 10th",0,32.967032967033,2.54424778761062,7.44466800804829,217
"97","csci","5-year flood magnitude",6,"Soft Bottom (no hard sides)",0,33.3333333333333,0,12,8
"98","csci","5-year flood magnitude",6,"Soft Bottom (two hard sides)",0,43.9024390243902,0,7.10059171597633,30
"99","csci","Magnitude of largest annual storm",6,"Hard Bottom",100,100,0,13.6531365313653,40
"100","csci","Magnitude of largest annual storm",6,"Natural",0,19.9300699300699,4.3010752688172,7.72357723577236,92
"101","csci","Magnitude of largest annual storm",6,"Overall 1st",0,100,14.1011840688913,14.2389525368249,393
"102","csci","Magnitude of largest annual storm",6,"Overall 30th",16.2162162162162,16.6666666666667,14.2124166239097,14.2490372272144,402
"103","csci","Magnitude of largest annual storm",6,"Overall 10th",0,19.622641509434,4.51263537906137,10.8695652173913,219
"104","csci","Magnitude of largest annual storm",6,"Soft Bottom (no hard sides)",0,20,0,11.1111111111111,8
"105","csci","Magnitude of largest annual storm",6,"Soft Bottom (two hard sides)",0,4.34782608695652,0,15.5080213903743,30
"106","csci","Spring recession magnitude",6,"Hard Bottom",0,33.3333333333333,0,7.46268656716418,39
"107","csci","Spring recession magnitude",6,"Natural",19.3220338983051,19.7916666666667,6.80100755667506,7.78688524590164,217
"108","csci","Spring recession magnitude",6,"Overall 1st",0,0,17.9921773142112,17.5250836120401,400
"109","csci","Spring recession magnitude",6,"Overall 30th",0,49.5412844036697,0.415800415800416,0.87260034904014,119
"110","csci","Spring recession magnitude",6,"Overall 10th",19.4638694638695,19.3415637860082,6.8561872909699,11.4678899082569,402
"111","csci","Spring recession magnitude",6,"Soft Bottom (no hard sides)",0,23.0769230769231,0,6.66666666666667,8
"112","csci","Spring recession magnitude",6,"Soft Bottom (two hard sides)",0,26.2626262626263,0,3.6036036036036,30
"113","csci","Wet-season low baseflow",6,"Hard Bottom",33.3333333333333,26.6666666666667,0,9.5959595959596,40
"114","csci","Wet-season low baseflow",6,"Natural",22.2222222222222,22.8915662650602,2.29007633587786,6.71378091872792,217
"115","csci","Wet-season low baseflow",6,"Overall 1st",0,32.0685434516524,0,0,262
"116","csci","Wet-season low baseflow",6,"Overall 30th",48.7889273356401,45.959595959596,0.484429065743945,3.70994940978078,402
"117","csci","Wet-season low baseflow",6,"Overall 10th",21.4285714285714,22.6415094339623,4.54545454545455,8.93719806763285,402
"118","csci","Wet-season low baseflow",6,"Soft Bottom (no hard sides)",0,23.0769230769231,0,6.66666666666667,8
"119","csci","Wet-season low baseflow",6,"Soft Bottom (two hard sides)",0,24.7524752475248,0,4.58715596330275,30
"120","csci","Wet-season median baseflow",6,"Hard Bottom",33.3333333333333,33.3333333333333,0,1.81818181818182,40
"121","csci","Wet-season median baseflow",6,"Natural",0,0,16.5687426556992,16.2740899357602,217
"122","csci","Wet-season median baseflow",6,"Overall 1st",0,49.063670411985,0,0,262
"123","csci","Wet-season median baseflow",6,"Overall 30th",23.9366138448707,24.6543778801843,0.242718446601942,1.68067226890756,402
"124","csci","Wet-season median baseflow",6,"Overall 10th",1.41509433962264,0,16.4790996784566,16.3851351351351,402
"125","csci","Wet-season median baseflow",6,"Soft Bottom (no hard sides)",0,0,0,16.6666666666667,8
"126","csci","Wet-season median baseflow",6,"Soft Bottom (two hard sides)",0,0,0,16.304347826087,30
"127","asci","10-year flood magnitude",3,"Hard Bottom",NA,NA,NA,NA,29
"128","asci","10-year flood magnitude",9,"Hard Bottom",NA,NA,NA,NA,29
"129","asci","10-year flood magnitude",12,"Hard Bottom",NA,NA,NA,NA,29
"130","asci","10-year flood magnitude",15,"Hard Bottom",NA,NA,NA,NA,29
"131","asci","10-year flood magnitude",18,"Hard Bottom",NA,NA,NA,NA,29
"132","asci","10-year flood magnitude",20,"Hard Bottom",NA,NA,NA,NA,29
"133","asci","10-year flood magnitude",3,"Natural",NA,NA,NA,NA,104
"134","asci","10-year flood magnitude",9,"Natural",NA,NA,NA,NA,104
"135","asci","10-year flood magnitude",12,"Natural",NA,NA,NA,NA,104
"136","asci","10-year flood magnitude",15,"Natural",NA,NA,NA,NA,106
"137","asci","10-year flood magnitude",18,"Natural",NA,NA,NA,NA,106
"138","asci","10-year flood magnitude",20,"Natural",NA,NA,NA,NA,106
"139","asci","10-year flood magnitude",3,"Overall 10th",NA,NA,NA,NA,221
"140","asci","10-year flood magnitude",9,"Overall 10th",NA,NA,NA,NA,221
"141","asci","10-year flood magnitude",12,"Overall 10th",NA,NA,NA,NA,221
"142","asci","10-year flood magnitude",15,"Overall 10th",NA,NA,NA,NA,223
"143","asci","10-year flood magnitude",18,"Overall 10th",NA,NA,NA,NA,223
"144","asci","10-year flood magnitude",20,"Overall 10th",NA,NA,NA,NA,223
"145","asci","10-year flood magnitude",3,"Overall 1st",NA,NA,NA,NA,222
"146","asci","10-year flood magnitude",9,"Overall 1st",NA,NA,NA,NA,222
"147","asci","10-year flood magnitude",12,"Overall 1st",NA,NA,NA,NA,222
"148","asci","10-year flood magnitude",15,"Overall 1st",NA,NA,NA,NA,222
"149","asci","10-year flood magnitude",18,"Overall 1st",NA,NA,NA,NA,222
"150","asci","10-year flood magnitude",20,"Overall 1st",NA,NA,NA,NA,222
"151","asci","10-year flood magnitude",3,"Overall 30th",NA,NA,NA,NA,190
"152","asci","10-year flood magnitude",9,"Overall 30th",NA,NA,NA,NA,223
"153","asci","10-year flood magnitude",12,"Overall 30th",NA,NA,NA,NA,223
"154","asci","10-year flood magnitude",15,"Overall 30th",NA,NA,NA,NA,223
"155","asci","10-year flood magnitude",18,"Overall 30th",NA,NA,NA,NA,223
"156","asci","10-year flood magnitude",20,"Overall 30th",NA,NA,NA,NA,223
"157","asci","10-year flood magnitude",3,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"158","asci","10-year flood magnitude",9,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"159","asci","10-year flood magnitude",12,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"160","asci","10-year flood magnitude",15,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"161","asci","10-year flood magnitude",18,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"162","asci","10-year flood magnitude",20,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"163","asci","10-year flood magnitude",3,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"164","asci","10-year flood magnitude",9,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"165","asci","10-year flood magnitude",12,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"166","asci","10-year flood magnitude",15,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"167","asci","10-year flood magnitude",18,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"168","asci","10-year flood magnitude",20,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"169","asci","2-year flood magnitude",3,"Hard Bottom",NA,NA,NA,NA,26
"170","asci","2-year flood magnitude",9,"Hard Bottom",NA,NA,NA,NA,29
"171","asci","2-year flood magnitude",12,"Hard Bottom",NA,NA,NA,NA,29
"172","asci","2-year flood magnitude",15,"Hard Bottom",NA,NA,NA,NA,29
"173","asci","2-year flood magnitude",18,"Hard Bottom",NA,NA,NA,NA,29
"174","asci","2-year flood magnitude",20,"Hard Bottom",NA,NA,NA,NA,29
"175","asci","2-year flood magnitude",3,"Natural",NA,NA,NA,NA,106
"176","asci","2-year flood magnitude",9,"Natural",NA,NA,NA,NA,106
"177","asci","2-year flood magnitude",12,"Natural",NA,NA,NA,NA,106
"178","asci","2-year flood magnitude",15,"Natural",NA,NA,NA,NA,106
"179","asci","2-year flood magnitude",18,"Natural",NA,NA,NA,NA,106
"180","asci","2-year flood magnitude",20,"Natural",NA,NA,NA,NA,106
"181","asci","2-year flood magnitude",3,"Overall 10th",NA,NA,NA,NA,223
"182","asci","2-year flood magnitude",9,"Overall 10th",NA,NA,NA,NA,223
"183","asci","2-year flood magnitude",12,"Overall 10th",NA,NA,NA,NA,223
"184","asci","2-year flood magnitude",15,"Overall 10th",NA,NA,NA,NA,223
"185","asci","2-year flood magnitude",18,"Overall 10th",NA,NA,NA,NA,223
"186","asci","2-year flood magnitude",20,"Overall 10th",NA,NA,NA,NA,223
"187","asci","2-year flood magnitude",3,"Overall 1st",NA,NA,NA,NA,182
"188","asci","2-year flood magnitude",9,"Overall 1st",NA,NA,NA,NA,182
"189","asci","2-year flood magnitude",12,"Overall 1st",NA,NA,NA,NA,223
"190","asci","2-year flood magnitude",15,"Overall 1st",NA,NA,NA,NA,223
"191","asci","2-year flood magnitude",18,"Overall 1st",NA,NA,NA,NA,223
"192","asci","2-year flood magnitude",20,"Overall 1st",NA,NA,NA,NA,223
"193","asci","2-year flood magnitude",3,"Overall 30th",NA,NA,NA,NA,192
"194","asci","2-year flood magnitude",9,"Overall 30th",NA,NA,NA,NA,223
"195","asci","2-year flood magnitude",12,"Overall 30th",NA,NA,NA,NA,223
"196","asci","2-year flood magnitude",15,"Overall 30th",NA,NA,NA,NA,223
"197","asci","2-year flood magnitude",18,"Overall 30th",NA,NA,NA,NA,223
"198","asci","2-year flood magnitude",20,"Overall 30th",NA,NA,NA,NA,223
"199","asci","2-year flood magnitude",3,"Soft Bottom (no hard sides)",NA,NA,NA,NA,3
"200","asci","2-year flood magnitude",9,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"201","asci","2-year flood magnitude",12,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"202","asci","2-year flood magnitude",15,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"203","asci","2-year flood magnitude",18,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"204","asci","2-year flood magnitude",20,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"205","asci","2-year flood magnitude",3,"Soft Bottom (two hard sides)",NA,NA,NA,NA,22
"206","asci","2-year flood magnitude",9,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"207","asci","2-year flood magnitude",12,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"208","asci","2-year flood magnitude",15,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"209","asci","2-year flood magnitude",18,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"210","asci","2-year flood magnitude",20,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"211","asci","5-year flood magnitude",3,"Hard Bottom",NA,NA,NA,NA,29
"212","asci","5-year flood magnitude",9,"Hard Bottom",NA,NA,NA,NA,29
"213","asci","5-year flood magnitude",12,"Hard Bottom",NA,NA,NA,NA,29
"214","asci","5-year flood magnitude",15,"Hard Bottom",NA,NA,NA,NA,29
"215","asci","5-year flood magnitude",18,"Hard Bottom",NA,NA,NA,NA,29
"216","asci","5-year flood magnitude",20,"Hard Bottom",NA,NA,NA,NA,29
"217","asci","5-year flood magnitude",3,"Natural",NA,NA,NA,NA,104
"218","asci","5-year flood magnitude",9,"Natural",NA,NA,NA,NA,105
"219","asci","5-year flood magnitude",12,"Natural",NA,NA,NA,NA,105
"220","asci","5-year flood magnitude",15,"Natural",NA,NA,NA,NA,106
"221","asci","5-year flood magnitude",18,"Natural",NA,NA,NA,NA,106
"222","asci","5-year flood magnitude",20,"Natural",NA,NA,NA,NA,106
"223","asci","5-year flood magnitude",3,"Overall 10th",NA,NA,NA,NA,221
"224","asci","5-year flood magnitude",9,"Overall 10th",NA,NA,NA,NA,222
"225","asci","5-year flood magnitude",12,"Overall 10th",NA,NA,NA,NA,222
"226","asci","5-year flood magnitude",15,"Overall 10th",NA,NA,NA,NA,223
"227","asci","5-year flood magnitude",18,"Overall 10th",NA,NA,NA,NA,223
"228","asci","5-year flood magnitude",20,"Overall 10th",NA,NA,NA,NA,223
"229","asci","5-year flood magnitude",3,"Overall 1st",NA,NA,NA,NA,222
"230","asci","5-year flood magnitude",9,"Overall 1st",NA,NA,NA,NA,222
"231","asci","5-year flood magnitude",12,"Overall 1st",NA,NA,NA,NA,222
"232","asci","5-year flood magnitude",15,"Overall 1st",NA,NA,NA,NA,222
"233","asci","5-year flood magnitude",18,"Overall 1st",NA,NA,NA,NA,222
"234","asci","5-year flood magnitude",20,"Overall 1st",NA,NA,NA,NA,222
"235","asci","5-year flood magnitude",3,"Overall 30th",NA,NA,NA,NA,190
"236","asci","5-year flood magnitude",9,"Overall 30th",NA,NA,NA,NA,223
"237","asci","5-year flood magnitude",12,"Overall 30th",NA,NA,NA,NA,223
"238","asci","5-year flood magnitude",15,"Overall 30th",NA,NA,NA,NA,223
"239","asci","5-year flood magnitude",18,"Overall 30th",NA,NA,NA,NA,223
"240","asci","5-year flood magnitude",20,"Overall 30th",NA,NA,NA,NA,223
"241","asci","5-year flood magnitude",3,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"242","asci","5-year flood magnitude",9,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"243","asci","5-year flood magnitude",12,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"244","asci","5-year flood magnitude",15,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"245","asci","5-year flood magnitude",18,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"246","asci","5-year flood magnitude",20,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"247","asci","5-year flood magnitude",3,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"248","asci","5-year flood magnitude",9,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"249","asci","5-year flood magnitude",12,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"250","asci","5-year flood magnitude",15,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"251","asci","5-year flood magnitude",18,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"252","asci","5-year flood magnitude",20,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"253","asci","Dry-season median baseflow",3,"Hard Bottom",NA,NA,NA,NA,26
"254","asci","Dry-season median baseflow",9,"Hard Bottom",NA,NA,NA,NA,26
"255","asci","Dry-season median baseflow",12,"Hard Bottom",NA,NA,NA,NA,26
"256","asci","Dry-season median baseflow",15,"Hard Bottom",NA,NA,NA,NA,26
"257","asci","Dry-season median baseflow",18,"Hard Bottom",NA,NA,NA,NA,26
"258","asci","Dry-season median baseflow",20,"Hard Bottom",NA,NA,NA,NA,26
"259","asci","Dry-season median baseflow",3,"Natural",NA,NA,NA,NA,63
"260","asci","Dry-season median baseflow",9,"Natural",NA,NA,NA,NA,63
"261","asci","Dry-season median baseflow",12,"Natural",NA,NA,NA,NA,63
"262","asci","Dry-season median baseflow",15,"Natural",NA,NA,NA,NA,63
"263","asci","Dry-season median baseflow",18,"Natural",NA,NA,NA,NA,63
"264","asci","Dry-season median baseflow",20,"Natural",NA,NA,NA,NA,63
"265","asci","Dry-season median baseflow",3,"Overall 10th",NA,NA,NA,NA,157
"266","asci","Dry-season median baseflow",9,"Overall 10th",NA,NA,NA,NA,157
"267","asci","Dry-season median baseflow",12,"Overall 10th",NA,NA,NA,NA,157
"268","asci","Dry-season median baseflow",15,"Overall 10th",NA,NA,NA,NA,157
"269","asci","Dry-season median baseflow",18,"Overall 10th",NA,NA,NA,NA,157
"270","asci","Dry-season median baseflow",20,"Overall 10th",NA,NA,NA,NA,157
"271","asci","Dry-season median baseflow",3,"Overall 1st",NA,NA,NA,NA,182
"272","asci","Dry-season median baseflow",9,"Overall 1st",NA,NA,NA,NA,182
"273","asci","Dry-season median baseflow",12,"Overall 1st",NA,NA,NA,NA,182
"274","asci","Dry-season median baseflow",15,"Overall 1st",NA,NA,NA,NA,182
"275","asci","Dry-season median baseflow",18,"Overall 1st",NA,NA,NA,NA,182
"276","asci","Dry-season median baseflow",20,"Overall 1st",NA,NA,NA,NA,182
"277","asci","Dry-season median baseflow",3,"Overall 30th",NA,NA,NA,NA,223
"278","asci","Dry-season median baseflow",9,"Overall 30th",NA,NA,NA,NA,223
"279","asci","Dry-season median baseflow",12,"Overall 30th",NA,NA,NA,NA,223
"280","asci","Dry-season median baseflow",15,"Overall 30th",NA,NA,NA,NA,223
"281","asci","Dry-season median baseflow",18,"Overall 30th",NA,NA,NA,NA,223
"282","asci","Dry-season median baseflow",20,"Overall 30th",NA,NA,NA,NA,223
"283","asci","Dry-season median baseflow",3,"Soft Bottom (no hard sides)",NA,NA,NA,NA,3
"284","asci","Dry-season median baseflow",9,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"285","asci","Dry-season median baseflow",12,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"286","asci","Dry-season median baseflow",15,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"287","asci","Dry-season median baseflow",18,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"288","asci","Dry-season median baseflow",20,"Soft Bottom (no hard sides)",NA,NA,NA,NA,4
"289","asci","Dry-season median baseflow",3,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"290","asci","Dry-season median baseflow",9,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"291","asci","Dry-season median baseflow",12,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"292","asci","Dry-season median baseflow",15,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"293","asci","Dry-season median baseflow",18,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"294","asci","Dry-season median baseflow",20,"Soft Bottom (two hard sides)",NA,NA,NA,NA,23
"295","asci","Fall pulse magnitude",3,"Hard Bottom",NA,NA,NA,NA,26
"296","asci","Fall pulse magnitude",9,"Hard Bottom",NA,NA,NA,NA,26
"297","asci","Fall pulse magnitude",12,"Hard Bottom",NA,NA,NA,NA,26
"298","asci","Fall pulse magnitude",15,"Hard Bottom",NA,NA,NA,NA,26
"299","asci","Fall pulse magnitude",18,"Hard Bottom",NA,NA,NA,NA,29
"300","asci","Fall pulse magnitude",20,"Hard Bottom",NA,NA,NA,NA,29
"301","asci","Fall pulse magnitude",3,"Natural",NA,NA,NA,NA,63
