"","flow_metric","channel_engineering_class","Metric","Negative","Positive","Total"
"104","SP_ROC","NAT","csci",216,256,472
"105","SP_ROC","SB0","ASCI_Hybrid",15,6,21
"106","SP_ROC","SB0","csci",23,7,30
"107","SP_ROC","SB1","ASCI_Hybrid",12,11,23
"108","SP_ROC","SB1","csci",10,16,26
"109","SP_ROC","SB2","ASCI_Hybrid",27,20,47
"110","SP_ROC","SB2","csci",34,23,57
"111","SP_Tim","HB","ASCI_Hybrid",18,38,56
"112","SP_Tim","HB","csci",26,55,81
"113","SP_Tim","NAT","ASCI_Hybrid",36,266,302
"114","SP_Tim","NAT","csci",60,407,467
"115","SP_Tim","SB0","ASCI_Hybrid",13,8,21
"116","SP_Tim","SB0","csci",18,12,30
"117","SP_Tim","SB1","ASCI_Hybrid",6,17,23
"118","SP_Tim","SB1","csci",6,20,26
"119","SP_Tim","SB2","ASCI_Hybrid",23,23,46
"120","SP_Tim","SB2","csci",27,28,55
"121","Wet_BFL_Dur","HB","ASCI_Hybrid",2,54,56
"122","Wet_BFL_Dur","HB","csci",4,77,81
"123","Wet_BFL_Dur","NAT","ASCI_Hybrid",63,239,302
"124","Wet_BFL_Dur","NAT","csci",112,355,467
"125","Wet_BFL_Dur","SB0","ASCI_Hybrid",13,8,21
"126","Wet_BFL_Dur","SB0","csci",14,16,30
"127","Wet_BFL_Dur","SB1","ASCI_Hybrid",3,20,23
"128","Wet_BFL_Dur","SB1","csci",3,23,26
"129","Wet_BFL_Dur","SB2","ASCI_Hybrid",12,34,46
"130","Wet_BFL_Dur","SB2","csci",14,41,55
"131","Wet_BFL_Mag_10","HB","ASCI_Hybrid",43,13,56
"132","Wet_BFL_Mag_10","HB","csci",63,18,81
"133","Wet_BFL_Mag_10","NAT","ASCI_Hybrid",128,178,306
"134","Wet_BFL_Mag_10","NAT","csci",212,260,472
"135","Wet_BFL_Mag_10","SB0","ASCI_Hybrid",17,4,21
"136","Wet_BFL_Mag_10","SB0","csci",22,8,30
"137","Wet_BFL_Mag_10","SB1","ASCI_Hybrid",16,7,23
"138","Wet_BFL_Mag_10","SB1","csci",18,8,26
"139","Wet_BFL_Mag_10","SB2","ASCI_Hybrid",32,15,47
"140","Wet_BFL_Mag_10","SB2","csci",38,19,57
"141","Wet_BFL_Mag_50","HB","ASCI_Hybrid",50,6,56
"142","Wet_BFL_Mag_50","HB","csci",74,7,81
"143","Wet_BFL_Mag_50","NAT","ASCI_Hybrid",120,186,306
"144","Wet_BFL_Mag_50","NAT","csci",194,278,472
"145","Wet_BFL_Mag_50","SB0","ASCI_Hybrid",16,5,21
"146","Wet_BFL_Mag_50","SB0","csci",17,13,30
"147","Wet_BFL_Mag_50","SB1","ASCI_Hybrid",17,6,23
"148","Wet_BFL_Mag_50","SB1","csci",19,7,26
"149","Wet_BFL_Mag_50","SB2","ASCI_Hybrid",32,15,47
"150","Wet_BFL_Mag_50","SB2","csci",39,18,57
"151","Wet_Tim","HB","ASCI_Hybrid",53,3,56
"152","Wet_Tim","HB","csci",78,3,81
"153","Wet_Tim","NAT","ASCI_Hybrid",179,123,302
"154","Wet_Tim","NAT","csci",268,199,467
"155","Wet_Tim","SB0","ASCI_Hybrid",8,13,21
"156","Wet_Tim","SB0","csci",15,15,30
"157","Wet_Tim","SB1","ASCI_Hybrid",11,12,23
"158","Wet_Tim","SB1","csci",16,10,26
"159","Wet_Tim","SB2","ASCI_Hybrid",41,5,46
"160","Wet_Tim","SB2","csci",49,6,55
