"","comid","gageid","StationCode","bioindicator","REACHCODE","GNIS_ID","GNIS_NAME"
"28",22549075,"11044000","902S02293","ASCI","18070302000025","273559","Santa Margarita River"
"29",22549075,"11044000","902S02357","ASCI","18070302000025","273559","Santa Margarita River"
"30",22549075,"11044000","902S05173","ASCI","18070302000025","273559","Santa Margarita River"
"31",22549075,"11044000","SMC04661","ASCI","18070302000025","273559","Santa Margarita River"
"32",22549075,"11044000","SMC33179","ASCI","18070302000025","273559","Santa Margarita River"
"33",22548475,"11044250","902S02293","ASCI","18070302000839","247920","Rainbow Creek"
"34",22548475,"11044250","902S02357","ASCI","18070302000839","247920","Rainbow Creek"
"35",22548475,"11044250","902S05173","ASCI","18070302000839","247920","Rainbow Creek"
"36",22548475,"11044250","SMC04661","ASCI","18070302000839","247920","Rainbow Creek"
"37",22548475,"11044250","SMC33179","ASCI","18070302000839","247920","Rainbow Creek"
"38",22548457,"11044300","902S02293","ASCI","18070302000014","273559","Santa Margarita River"
"39",22548457,"11044300","902S02357","ASCI","18070302000014","273559","Santa Margarita River"
"40",22548457,"11044300","902S05173","ASCI","18070302000014","273559","Santa Margarita River"
"41",22548457,"11044300","SMC04661","ASCI","18070302000014","273559","Santa Margarita River"
"42",22548457,"11044300","SMC33179","ASCI","18070302000014","273559","Santa Margarita River"
"43",22548429,"11044350","902SMSND3","ASCI","18070302000615",NA,NA
"44",20348919,"11046530","SMC01934","ASCI","18070301000684","273492","San Juan Creek"
"45",20348919,"11046530","901S39498","ASCI","18070301000684","273492","San Juan Creek"
"46",20348919,"11046530","901S45253","ASCI","18070301000684","273492","San Juan Creek"
"47",20348919,"11046530","901S12942","ASCI","18070301000684","273492","San Juan Creek"
"48",20348919,"11046530","901S11685","ASCI","18070301000684","273492","San Juan Creek"
"49",20348919,"11046530","901SJSJC9","ASCI","18070301000684","273492","San Juan Creek"
"50",20355520,"11048600","SMC14211","ASCI","18070204000110","0","Bonita Creek"
"51",20355520,"11048600","SMC13187","ASCI","18070204000110","0","Bonita Creek"
"52",20355520,"11048600","SMC01923","ASCI","18070204000110","0","Bonita Creek"
"53",20355520,"11048600","SMC00766","ASCI","18070204000110","0","Bonita Creek"
"54",20355520,"11048600","SMC06019","ASCI","18070204000110","0","Bonita Creek"
"55",20355520,"11048600","801SDC418","ASCI","18070204000110","0","Bonita Creek"
"56",22558244,"11051499","SMC01655","ASCI","18070203005948","273539","Santa Ana River"
"57",22558244,"11051499","SMC02123","ASCI","18070203005948","273539","Santa Ana River"
"58",22558244,"11051499","SMC09591","ASCI","18070203005948","273539","Santa Ana River"
"59",22558244,"11051499","SMC02167","ASCI","18070203005948","273539","Santa Ana River"
"60",22558244,"11051499","801S04471","ASCI","18070203005948","273539","Santa Ana River"
"61",22558244,"11051500","SMC01655","ASCI","18070203005948","273539","Santa Ana River"
"62",22558244,"11051500","SMC02123","ASCI","18070203005948","273539","Santa Ana River"
"63",22558244,"11051500","SMC09591","ASCI","18070203005948","273539","Santa Ana River"
"64",22558244,"11051500","SMC02167","ASCI","18070203005948","273539","Santa Ana River"
"65",22558244,"11051500","801S04471","ASCI","18070203005948","273539","Santa Ana River"
"66",22558244,"11051502","SMC01655","ASCI","18070203005948","273539","Santa Ana River"
"67",22558244,"11051502","SMC02123","ASCI","18070203005948","273539","Santa Ana River"
"68",22558244,"11051502","SMC09591","ASCI","18070203005948","273539","Santa Ana River"
"69",22558244,"11051502","SMC02167","ASCI","18070203005948","273539","Santa Ana River"
"70",22558244,"11051502","801S04471","ASCI","18070203005948","273539","Santa Ana River"
"71",22555756,"11055800","801CYC398","ASCI","18070203000250","240641","City Creek"
"72",22555756,"11055801","801CYC398","ASCI","18070203000250","240641","City Creek"
"73",22557960,"11057500","SMC03533","ASCI","18070203000119",NA,NA
