"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","CorObs_Pred"
"17","asci_Q99_3",914.101290628821,NA,914.101290628821,NA,-77.7466119726411,NA,NA,NA,997.428453531788,NA,303.205120757513,NA,20.2363443797739,NA,223,"asci","Q99",3,0.313948532746711
"18","csci_Q99_3",-297.168176907227,NA,-297.168176907227,NA,-22104.6294783722,-8704.96583462983,485.818093590126,NA,-17231.373589406,-11813.8617975216,-364.939871283919,NA,-579.441309409856,NA,402,"csci","Q99",3,0.404750338026351
"19","asci_DS_Mag_50_6",NA,NA,NA,NA,-8.55105808060397,1.58072706245251,NA,NA,NA,NA,-5.24936212205838,-0.535101037899425,-7.8590428986391,1.14632905475061,223,"asci","DS_Mag_50",6,0.326208394789645
"20","csci_DS_Mag_50_6",-9.08519692537244,4.49131704762636,-9.08519692537244,4.49131704762636,-16.6420023327969,11.6917493377018,NA,NA,-14.8156600466066,9.60080290585318,-9.56304857886066,4.8693042903418,-10.9772624119608,6.04793176855271,402,"csci","DS_Mag_50",6,0.576042682536274
"21","asci_FA_Mag_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,"asci","FA_Mag",6,0.233450895772271
"22","csci_FA_Mag_6",-68.6067316771706,51.563552821415,-68.6067316771706,51.563552821415,-183.625450906097,173.216032627169,NA,NA,-154.870771098865,144.423370139124,-75.7954016289785,56.8247371085552,-97.3614114844023,73.8075029726177,402,"csci","FA_Mag",6,0.496707472819845
"23","asci_Peak_10_6",3591.80460431141,NA,3591.80460431141,NA,-58.7946010399097,NA,5192.40791544076,NA,3791.88001820258,NA,1614.16178464807,NA,256.561232177821,NA,223,"asci","Peak_10",6,0.336712731409327
"24","csci_Peak_10_6",-528.266379300022,NA,-528.266379300022,NA,-11565.7731061562,-7974.45658761247,979.021314865319,NA,-1457.62068485668,NA,-604.793851195126,NA,-826.592371110518,NA,402,"csci","Peak_10",6,0.503614385824713
"25","asci_Peak_2_6",NA,NA,NA,NA,-139.59332230443,NA,NA,NA,NA,NA,571.389426116641,1209.52942405894,-113.230492559907,NA,223,"asci","Peak_2",6,0.370255692867431
"26","csci_Peak_2_6",-216.822446685677,NA,-216.822446685677,NA,-6561.2621746302,-3114.62593503983,922.925997176066,NA,-5656.98818332415,-4215.09742394414,-238.169937344982,NA,-301.6870740127,NA,402,"csci","Peak_2",6,0.387504046428221
"27","asci_Peak_5_6",2698.50975722327,NA,2698.50975722327,NA,-51.0433301887153,NA,3384.6316932297,NA,2784.27499922408,NA,572.628757434706,NA,87.2004903553717,NA,223,"asci","Peak_5",6,0.324971212721645
"28","csci_Peak_5_6",-429.059835804117,NA,-429.059835804117,NA,-16709.2115818182,-9721.03568952832,824.546102292467,NA,-1330.6481606925,NA,-503.772885424193,NA,-721.587446467426,NA,402,"csci","Peak_5",6,0.433757332986135
"29","asci_SP_Mag_6",1401.83936813959,NA,1401.83936813959,NA,-111.076692041875,116.78288040964,1526.32777613641,NA,1417.40041913919,NA,-20.1421856838845,60.6647839927577,-94.7371604232965,106.082042525544,223,"asci","SP_Mag",6,0.413802094503757
"30","csci_SP_Mag_6",-32.2101930253023,172.393055865165,-32.2101930253023,172.393055865165,-140.962094718217,NA,1521.89943025902,NA,-112.249865373866,NA,-39.3268449906275,181.464680343305,-59.8917921620117,208.864828407226,402,"csci","SP_Mag",6,0.44223184103098
"31","asci_Wet_BFL_Mag_10_6",NA,NA,NA,NA,-14.0064920241523,-0.500265002085581,NA,NA,NA,NA,-8.92939147852904,-6.39811382429958,-12.8713058241498,-1.63663381289278,223,"asci","Wet_BFL_Mag_10",6,0.253387131890326
"32","csci_Wet_BFL_Mag_10_6",-10.303655761144,7.15332529383574,-10.303655761144,7.15332529383574,-16.6641144596665,47.9533171292944,NA,NA,-15.1387511908071,43.2772239148052,-10.7100343235584,8.1177922686013,-11.9291700108018,10.9923036133926,402,"csci","Wet_BFL_Mag_10",6,0.398698497747328
"33","asci_Wet_BFL_Mag_50_6",110.596360413338,152.127763587702,110.596360413338,152.127763587702,-89.3580170050087,-20.3799865337978,NA,NA,112.524897778984,148.955116134308,-56.6938026340132,-46.1792149444406,-81.1919634122598,-29.0482584406348,223,"asci","Wet_BFL_Mag_50",6,0.316997237931073
"34","csci_Wet_BFL_Mag_50_6",-195.098841270077,-74.1615189382169,-195.098841270077,-74.1615189382169,-323.543862933704,166.775716971564,NA,NA,-291.432607517797,159.578795653679,-203.126655124053,-72.1707608596923,-227.210096685984,-66.1984866241186,402,"csci","Wet_BFL_Mag_50",6,0.332708065803312
"35","asci_Q99_6",503.517144755014,NA,503.517144755014,NA,-121.560088041284,NA,817.993750758921,NA,543.699195990544,NA,184.169915772711,NA,-52.2108718479593,NA,223,"asci","Q99",6,0.35172254362161
